length,succeed,total,ratio
1,0,6,0
2,0,18,0
3,1,16,0.0625
4,5,30,0.166667
5,5,34,0.147059
6,0,2,0
7,2,42,0.047619
8,2,35,0.057143
9,0,18,0
10,0,12,0
11,0,5,0
12,9,58,0.155172
13,1,28,0.035714
14,12,51,0.235294
15,26,38,0.684211
16,3,26,0.115385
17,2,14,0.142857
18,1,10,0.1
19,9,33,0.272727
20,7,33,0.212121
21,18,45,0.4
22,18,56,0.321429
23,51,99,0.515152
24,16,40,0.4
25,4,10,0.4
26,10,21,0.47619
27,14,28,0.5
28,18,58,0.310345
29,8,16,0.5
30,8,12,0.666667
31,7,14,0.5
32,10,24,0.416667
33,15,20,0.75
34,6,9,0.666667
35,6,10,0.6
36,21,37,0.567568
37,12,18,0.666667
38,5,7,0.714286
39,17,24,0.708333
40,9,14,0.642857
41,9,20,0.45
42,12,20,0.6
43,7,18,0.388889
44,5,14,0.357143
45,3,11,0.272727
46,8,14,0.571429
47,2,5,0.4
48,9,12,0.75
49,1,3,0.333333
50,22,28,0.785714
51,9,25,0.36
52,10,16,0.625
53,0,2,0
54,13,16,0.8125
55,4,5,0.8
56,4,7,0.571429
57,12,15,0.8
58,5,8,0.625
59,5,6,0.833333
60,2,3,0.666667
61,5,7,0.714286
62,0,1,0
63,17,21,0.809524
64,23,27,0.851852
65,4,5,0.8
66,1,1,1
67,2,3,0.666667
68,2,3,0.666667
69,2,4,0.5
71,2,2,1
72,2,2,1
73,9,10,0.9
74,4,16,0.25
75,2,2,1
76,8,12,0.666667
77,5,9,0.555556
78,5,6,0.833333
79,3,7,0.428571
80,3,7,0.428571
83,1,2,0.5
84,5,8,0.625
85,4,4,1
86,2,2,1
87,3,3,1
88,11,12,0.916667
89,2,1,2
90,1,2,0.5
92,2,3,0.666667
93,3,4,0.75
94,1,1,1
96,10,11,0.909091
97,1,1,1
98,6,35,0.171429
99,5,5,1
100,2,4,0.5
102,1,1,1
103,0,1,0
105,1,1,1
107,3,5,0.6
108,3,5,0.6
111,0,2,0
112,2,3,0.666667
114,1,1,1
115,1,2,0.5
117,1,1,1
118,0,4,0
119,3,3,1
120,1,1,1
121,2,2,1
122,1,2,0.5
124,1,1,1
125,1,1,1
126,3,3,1
128,2,3,0.666667
135,2,2,1
136,1,2,0.5
140,1,1,1
145,1,2,0.5
