seed,crash,tb
0,0,23
1,0,22
2,0,23
3,0,23
4,0,145
5,0,23
6,0,377
7,0,336
8,0,498
9,0,178
10,0,488
11,1,410
12,0,365
13,1,504
14,1,456
15,1,559
16,1,538
17,0,559
18,1,568
19,1,583
20,1,590
21,1,610
22,1,607
23,1,641
24,1,649
25,1,660
26,0,659
27,1,661
28,1,673
29,1,673
30,1,686
31,1,696
32,1,724
33,1,715
34,1,748
35,1,737
36,1,773
37,1,747
38,1,798
39,1,787
40,1,810
41,1,803
42,1,838
43,1,836
44,1,862
45,1,865
46,1,867
47,1,881
48,1,866
49,1,876
50,1,876
51,1,879
52,1,880
53,1,884
54,1,884
55,1,884
56,1,883
57,1,890
58,1,883
59,1,896
60,1,892
61,1,895
62,1,897
63,1,907
64,1,905
65,1,955
66,1,907
67,1,945
68,1,927
69,1,945
70,1,954
71,1,941
72,1,950
73,1,978
74,1,983
75,1,991
76,1,984
77,1,999
78,1,1048
79,1,1029
80,1,1030
81,1,1029
82,1,1043
83,1,1042
84,1,1020
85,1,1022
86,1,1022
87,1,1008
88,1,1010
89,1,1014
90,1,1017
91,1,1016
92,1,1022
93,1,1021
94,1,1023
95,1,1024
96,1,1023
97,1,1020
98,1,1023
99,1,1023
100,1,1023
101,1,1026
102,1,1024
103,1,1026
104,1,1027
105,0,1029
106,1,1031
107,1,1031
108,1,1029
109,1,1028
110,1,1026
111,1,1026
112,1,1027
113,1,1026
114,1,1025
115,1,1030
116,1,1032
117,1,1029
118,1,1028
119,1,1026
120,1,1025
121,1,1024
122,1,1027
123,1,1025
124,1,1025
125,1,1023
126,1,1025
127,1,1025
128,1,1023
129,1,1023
130,1,1023
131,1,1021
132,1,1021
133,1,1020
134,0,1020
135,1,1022
136,1,1021
137,1,1021
138,1,1020
139,1,1014
140,1,1020
141,1,1022
142,1,1019
143,1,1036
144,1,1036
145,1,1062
146,1,1071
147,1,1093
148,1,1091
149,1,1103
150,1,1100
151,1,1107
152,0,1104
153,0,1103
154,1,1104
155,1,1096
156,0,1104
157,0,1096
158,0,1097
159,1,1100
160,0,1099
161,1,1098
162,1,1098
163,1,1102
164,1,1103
165,1,1100
166,0,1104
167,1,1104
168,1,1105
169,0,1102
170,1,1099
171,1,1100
172,1,1099
173,1,1096
174,1,1097
175,1,1096
176,0,1092
177,1,1095
178,1,1096
179,1,1085
180,0,1095
181,0,1115
182,0,1089
