0,1,2,3,4,5,6,7,8,9,10
188,312,736,295,615,992,3039,2954,1454,6559,1282662
59,260,257,317,881,825,693,1953,4049,9413,75906
50,194,255,302,748,983,1474,1539,144179,10449,40136
49,191,278,277,401,953,1907,1640,109149,22352,145603
42,193,331,302,344,475,1290,727,72179,5279,43122
78,194,307,299,384,543,1146,686,91200,15981,15918258
46,192,337,300,279,694,2485,679,663466,25646,50629
44,192,269,267,355,651,1040,712,182098,5133,46212
55,195,271,305,272,981,839,68629,2024,27734,22974
72,220,283,361,362,1079,682,2852,705,7396,15743
50,201,289,265,281,436,1699,2761,2805,4731,2559
51,208,327,278,271,561,1764,2421,3310,16566,20579
193,208,263,335,291,360,537,2076,2708,6896,22172
53,207,246,303,392,1086,1030,32092,8184,1205,97540
86,215,286,323,266,984,1393,1573,3087,1506,490520
197,212,295,296,345,452,1067,1552,2348,1699,287066
222,207,284,274,421,543,958,1253,1757,959,11829
53,209,192,278,782,276,896,841,2989,1989,1006680
56,185,196,288,774,392,1147,1251,2803,1121,55397
182,185,268,302,522,541,1074,2372,3050,13719,17126
78,185,280,339,515,676,849,1255,3141,11276,91193
48,181,256,292,574,249,1119,2020,4895,20049,21828
48,296,198,329,469,972,1507,3013,1508,10872,67777
177,191,1592,293,450,410,843,2837,4931,7028,33243
67,217,1690,239,282,378,1070,1939,5432,1358,51127
182,249,2589,255,289,732,2273,1651,5407,5816,54428
179,210,1476,332,564,227,866,2061,6422,7928,54342
178,98,299,224,290,266,2049,1563,4656,4258,77478
183,280,252,340,300,259,867,980,3293,17241,42399
179,304,182,258,329,258,1339,1767,6090,4900,445060
178,189,489,336,556,288,1211,3053,3217,5659,37128
185,236,305,161,403,259,1429,2006,3277,4042,57346
175,295,235,351,342,231,3041,1339,6613,4411,886233
177,242,195,518,454,1162,1118,2660,1886,4864,57489
189,164,310,215,625,691,1237,2068,563,5623,133746
169,249,235,551,607,269,1762,2026,5641,19224,57100
181,254,397,628,227,761,1099,4726,2439,12320,22334
176,216,343,242,230,744,1415,3619,1272,12294,46983
178,305,308,208,479,968,1485,568,3364,8330,61617
180,59,343,445,810,293,2015,2205,2065,16973,80640
179,187,311,388,371,1017,1226,1340,18135,15239,47377
179,218,209,453,933,710,1351,1087,1102,11362,46915
177,220,274,430,386,1090,943,1566,1789,640,125424
177,212,317,216,243,933,1180,3003,8543,14495,53601
176,270,196,305,228,638,1416,1969,5162,8380,17514
179,267,305,451,224,631,1614,4332,4493,2825,63881
183,209,379,251,229,1020,1254,2771,4974,750,24513
187,187,277,208,224,220,1529,2874,4101,14736,36391
185,217,263,281,451,1263,1358,1512,2675,7032,479
182,222,218,361,526,601,869,2169,3488,3919,830
189,203,250,526,762,1006,1393,1582,6425,19701,6781
180,210,212,359,669,668,1212,2424,5381,10404,22162
180,228,195,422,702,358,606,1847,4629,12190,28656
174,237,208,233,379,901,1006,2416,1605,15172,29582
178,211,197,212,294,750,1634,2139,2705,5632,34652
183,198,193,419,451,801,1336,1332,4203,20508,12242
181,204,194,217,507,416,1738,2469,3827,16944,172651
183,193,193,219,564,649,1093,2407,2008,17154,4422
174,205,197,527,372,312,1814,2335,3553,10180,9382
195,188,190,404,729,914,1726,1583,3191,13797,48075
177,185,193,494,353,820,1264,2433,4533,7451,55450
179,201,195,267,471,665,1456,2514,2795,12968,99451
178,192,209,450,867,735,1160,1794,7675,10198,1014184
178,186,340,258,567,888,1320,2951,2288,5718,641581
183,188,288,353,608,1035,890,2967,3819,10335,2206625
196,185,243,358,600,809,1369,1852,8054,4513,57151
187,191,261,422,488,546,1269,2267,3358,6795,64394
177,192,233,411,736,900,1308,1613,5464,6028,231512
178,188,215,379,411,807,804,2136,2788,5877,136289
181,207,196,350,710,240,1350,2249,2933,8804,48684
180,185,260,339,563,576,1687,2569,4529,11176,236242
183,192,211,426,497,604,1533,2041,5220,7100,44304
178,193,274,404,536,917,1112,1960,7001,16396,242060
176,188,259,210,227,673,1219,2511,4441,10685,44190
189,186,195,451,466,629,1236,2293,3219,16791,26490
186,186,211,197,526,974,719,2713,3402,5061,78343
188,185,200,200,507,691,1184,2010,5647,11852,2286
181,207,223,198,809,677,1551,1844,4032,8275,51511
178,192,294,199,913,905,1488,2900,4333,13045,155244
183,191,235,189,476,608,1882,1335,5698,7449,29592
181,191,362,208,522,795,384,2369,3742,9891,41765
176,188,199,202,206,741,1333,909,4177,16195,4726
177,196,913,195,625,972,941,1176,270,18172,125300
173,194,508,199,692,245,1064,2436,2626,6651,16755
175,190,202,203,625,676,973,2301,5337,5610,12292
180,193,194,211,538,535,1549,3840,7391,7525,-1
185,190,198,210,325,213,1442,1416,3510,9007,-1
176,189,200,209,401,943,1953,3309,3235,12350,-1
178,190,203,199,240,454,912,3470,5009,10758,-1
182,349,1464,209,215,1093,1058,2018,6628,9072,-1
177,223,5889,202,220,717,1290,2502,3835,8158,-1
181,217,7152,208,234,218,271,415,4417,3058,-1
181,273,2336,207,215,560,280,2507,1073,4516,-1
197,202,745,207,222,542,274,2192,4833,11415,-1
177,190,177,303,207,661,312,2846,3561,16008,-1
177,192,1275,218,216,723,279,1572,2972,9891,-1
185,187,337,209,215,227,299,2091,4037,1031,-1
179,188,1961,254,228,229,268,2142,4728,7125,-1
176,201,2604,234,215,257,891,2942,3710,7707,-1
174,190,1087,479,237,991,1340,2316,4771,8349,-1
180,186,1254,328,220,998,1456,3020,5381,10018,-1
177,184,504,283,468,993,1030,1016,4182,26708,-1
179,183,221,260,518,910,1162,1566,841,7088,-1
178,193,222,544,586,831,773,2749,6077,8790,-1
189,204,253,446,531,686,1742,2460,6053,24892,-1
175,194,213,472,653,941,1850,2677,7202,8929,-1
176,190,196,206,669,379,1159,2121,6291,14948,-1
176,194,1672,195,454,762,1354,1542,3758,11122,-1
176,202,1844,340,560,917,968,1780,3716,1394,-1
177,206,938,201,512,823,1107,1791,3698,1409,-1
172,198,1720,217,726,1056,1083,2211,1043,1333,-1
180,192,1371,202,601,258,1361,2532,4867,2018,-1
183,199,737,198,691,686,1492,3610,2469,27248,-1
179,197,181,201,228,253,1715,408,539,7979,-1
182,200,1885,203,229,825,874,405,554,2401,-1
182,192,6031,214,224,1028,1335,409,1029,7990,-1
183,185,205,253,216,329,1303,429,1880,2099,-1
176,294,217,209,217,1206,385,426,1017,16659,-1
171,197,193,207,199,918,374,401,711,11555,-1
178,194,193,207,228,569,392,421,1812,5728,-1
181,194,201,222,235,925,444,401,2377,6750,-1
178,190,199,241,231,383,370,408,801,14226,-1
188,192,196,229,240,925,373,2058,4704,19869,-1
190,1788,177,273,242,931,2710,2025,6629,16079,-1
179,1074,198,471,242,931,1075,1963,7795,6204,-1
177,192,204,223,244,942,299,2117,427,11918,-1
176,211,200,362,294,693,313,900,2863,12071,-1
184,191,201,380,261,943,318,3028,489,5389,-1
178,197,195,392,225,649,302,2015,5781,14241,-1
182,196,197,364,224,692,304,2386,3471,23816,-1
187,195,199,542,237,952,1807,3046,4523,8002,-1
175,209,200,354,233,870,1672,2411,3683,8734,-1
180,208,203,235,223,1169,984,1979,6214,7925,-1
180,2393,178,234,227,1033,2071,1635,4044,10524,-1
177,196,203,237,250,326,1357,4288,3220,20522,-1
180,2399,198,236,229,300,1371,512,2882,6153,-1
170,762,195,261,230,1188,1172,753,1567,11875,-1
179,196,194,239,236,270,1109,607,5526,5596,-1
178,210,198,2655,292,1468,1871,353,4278,6610,-1
177,188,317,232,937,290,2228,2405,5750,8076,-1
200,188,446,357,402,731,1146,1612,5771,14919,-1
183,201,261,409,400,312,1391,3218,1713,1758,-1
183,189,200,13177,470,281,1659,3204,4684,1755,-1
190,198,200,344,520,310,1313,1367,6553,1487,-1
180,194,1818,509,241,1174,323,570,5760,1496,-1
184,-1,197,353,493,1076,328,5674,3863,1050,-1
181,-1,190,350,296,235,318,384,500,1573,-1
184,-1,205,430,576,307,634,3777,514,1682,-1
178,-1,211,218,244,853,1394,2087,560,1425,-1
184,-1,1393,210,499,727,229,381,4601,2047,-1
178,-1,2943,222,282,1075,239,1059,32966,1217,-1
178,-1,233,322,866,756,2304,998,6793,11966,-1
177,-1,257,260,562,565,867,1029,6513,7194,-1
191,-1,201,283,252,881,662,643,3545,8649,-1
176,-1,179,200,711,395,1941,3415,889,24202,-1
178,-1,7755,208,496,875,2164,1870,5617,14675,-1
182,-1,190,286,592,1095,1932,252,3110,660,-1
188,-1,206,365,594,1167,1270,3455,12331,9981,-1
184,-1,240,245,685,1255,1609,2545,5674,16977,-1
180,-1,-1,255,1273,983,1932,3733,5355,11218,-1
180,-1,-1,375,516,238,1143,3225,743,15210,-1
184,-1,-1,344,424,801,1590,2769,5700,6852,-1
181,-1,-1,-1,586,1118,999,4630,5600,2226,-1
180,-1,-1,-1,207,965,1023,3121,3288,6470,-1
179,-1,-1,-1,187,883,1112,2239,5530,5245,-1
184,-1,-1,-1,210,330,1464,4221,877,19998,-1
181,-1,-1,-1,190,212,874,-1,423,5330,-1
180,-1,-1,-1,192,1017,1042,-1,624,18680,-1
176,-1,-1,-1,190,570,1916,-1,548,24049,-1
185,-1,-1,-1,185,276,1320,-1,7111,22927,-1
175,-1,-1,-1,204,1553,1048,-1,3713,37581,-1
178,-1,-1,-1,229,242,1394,-1,2180,1222,-1
181,-1,-1,-1,456,-1,2122,-1,4034,5977,-1
187,-1,-1,-1,-1,-1,1781,-1,6319,10898,-1
182,-1,-1,-1,-1,-1,576,-1,2640,8533,-1
185,-1,-1,-1,-1,-1,484,-1,-1,-1,-1
180,-1,-1,-1,-1,-1,782,-1,-1,-1,-1
190,-1,-1,-1,-1,-1,1636,-1,-1,-1,-1
188,-1,-1,-1,-1,-1,1373,-1,-1,-1,-1
190,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
186,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
186,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
182,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
189,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
178,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
187,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
181,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
176,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
182,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
173,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
178,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
184,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
206,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
185,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
